id,name,reducedfrom,Garey and Johnson Id,input,question,reference,tags,comment,wikilink,abbrev
42,Subset Sum,41,[SP13],Finite set \(A\); for each element \(a \in A\) a positive integer size \(s(a)\); a positive integer \(K\).,"Is there a subset \(B \subset A\) such that the sum of the sizes, \(s(x)\), of the elements \(x \in B\) is exactly equal to \(K\)?","Karp, Richard M. ""Reducibility among combinatorial problems."" Complexity of computer computations. Springer, Boston, MA, 1972. 85-103.",SS,,,SS
43,Comparative Containment,6,[SP10],"A finite set \(X\); 2 collections \(R=(R_1,...,R_k)\) and \(S=(S_1,...,S_m)\) each of which is a set of subsets of \(X\); for each \(R_i \in R\), a positive integer weight \(w(R_i)\); for each \(S_i \in S\) a positive integer weight \(w(S_i)\).","Is there a subset \(Y\) of \(X\) such that: if \(R_Y\) is the set of subsets, \(R_i\) of \(R\) having \(Y\) as a subset of \(R_i\) and \(S_Y\) is the set of subsets, \(S_i\) of \(S\) having \(Y\) as a subset of \(S_i\) then the total weight of the sets in \(R_Y\) is at least the total weight of the sets in \(S_Y\).","Plaisted, David. ""Some polynomial and integer divisibility problems are NP-hard."" SIAM Journal on Computing 7.4 (1978): 458-464.",SS,,,CPC
44,Minimum Test Set,36,[SP6],"A finite set \(S\); A collection \(C=(C_1,...,C_m)\) of subsets of \(S\); a positive integer \(k\leq m\).","Is there a sub-collection \(D=(D_1,...,D_t)\) of the sets in \(C\) such that: \(t\leq k\) and for each distinct pair of elements \(u, v \in S\) there is a set \(D_{u,v} \in D\) that contains exactly one of \(u\) and \(v\)?","Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",SS,,,MTS
45,Minimum Sum of Squares,41,[SP19],A set \(A\) of \(n\) elements; for each element \(a \in A\) a positive integer size \(s(a)\); positive integers \(k\leq n\) and \(J\).,"Can \(A\) be partitioned into \(k\) disjoint sets \(A_1,...,A_k\) such that \(\sum_{i=1}^{k} \left(\sum_{x \in A_i} s(x)\right)^2\leq J\)?","Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",SS,,,MSOS
46,3-Partition,36,[SP15],"A set \(A\) of \(3m\) elements; a positive integer bound \(B\); for each element \(x \in A\) a positive integer size \(s(x)\) that satisfies \(\frac{B}{4}< s(x)< \frac{B}{2}\), and is such that the sum of the sizes of elements in \(A\) is exactly \(mB\).","Can \(A\) be partitioned into \(m\) disjoint sets \(A_1,...,A_m\) such that each \(A_i\) contains exactly 3 elements of \(A\) and each \(A_i\) has total size equal to \(B\)?","Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",SS,,,3PRT
47,Subset Product,39,[SP14],Finite set \(A\); for each element \(a \in A\) a positive integer size \(s(a)\); a positive integer \(K\).,"Is there a subset \(B \subset  A\) such that the product (i.e. result of multiplying together all) of the sizes, \(s(x)\), of the elements \(x \in B\) is exactly equal to \(K\)?","Yao, Andrew Chi-Chih. ""New algorithms for bin packing."" Journal of the ACM (JACM) 27.2 (1980): 207-227.",SS,"There is a subtle technical distinction between this and subset sum: the former case has a `pseudo-efficient' algorithm obtained by allowing numbers to be represented in unary; unless all NP-complete problems can be solved by fast algorithms, however, the Subset Product Problem, cannot be solved by `efficient' methods using even this unreasonable input representation.",,SP
48,Bin Packing,41,[SR1],A finite set \(U\) of \(m\) items; for each item \(u \in U\) a positive integer size \(s(u)\); positive integers \(B\) (called the bin capacity) and \(k\leq m\).,"Can \(U\) be partitioned into \(k\) disjoint sets \(U_1,...,U_k\) such that for each \(U_i\) (\(1\leq i\leq k\)) the total sum of the sizes of the items in \(U_i\) does not exceed \(B\)?","Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",SR,,,BP
49,Hitting String,1,[SR12],"Finite set \(S=\{s_1,...,s_m\}\) each \(s_i\) being a string of \(n\) symbols over \(\{0,1,*\}\).","Is there a binary string \(x=x_1x_2...x_n\) of length \(n\) such that for each \(s_j \in S\), \(s_j\) and \(x\) agree in at least one position.","Fagin, Ronald. ""Generalized first-order spectra and polynomial-time recognizable sets."" Complexity of computation (1974).",SR,,,HS
50,Rectilinear Picture Compression,1,[SR25],An \(n \times n\) matrix \(M\) of \(0\)s and \(1\)s; a positive integer \(K\).,"Can all of the 1-valued entries in \(M\) be covered by a collection of \(K\) or fewer rectangles, i.e. is there a sequence of 4-tuples \((a_i,b_i,c_i,d_i)\) (where for all \(1\leq i\leq K\), \(a_i\leq b_i\) and \(c_i\leq d_i\)) such that: For each pair \((i,j)\) (\(1\leq i,j\leq n\)) \(M[i,j]=1\) if and only if for some \(k\) (\(1\leq k\leq K\)) it holds that \(a_k\leq i\leq b_k\) and \(c_k\leq j\leq d_k\)? ","Masek, William J. ""Some NP-complete set covering problems."" Unpublished manuscript (1979).",SR,"Despite the apparently complicated definition, this is quite a well-motivated problem. Its background is, as its name suggests, from image compression and the task being set can be interpreted as representing a 2-dimensional image using at most \(K\) `blocks' of information.",,RPC
51,Sequencing with Release Times and Deadlines,46,[SS1],A set \(T\) of tasks; for each task \(t \in T\): a positive integer length \(len(t)\); a positive integer release time \(r(t)\); and a positive integer deadline \(d(t)\).,"Is there a one-processor schedule for the tasks, \(T\), that satisfies the release time constraints and meets all of the deadlines, i.e. a one-to-one function \(\sigma\) from the set of tasks to positive integers such that all of the following hold: For any two distinct tasks \(t\) and \(w\) if \(\sigma(t)> \sigma(w)\) then \(\sigma(t)\geq \sigma(w)+len(w)\). For all tasks \(t \in T\), \(\sigma(t)\geq r(t)\). For all tasks \(t \in T\), \(\sigma(t)+len(t)\leq d(t)\)? ","Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",SS,"Another scheduling problem in the style of multiprocessor scheduling, but in a single processor environment. The requirements of the schedule, \(\sigma\), are that it must: 1) assign a unique starting time to each task in the set (\(\sigma\) is a one-to-one function); 2) two tasks cannot be running simultaneously (this is condition (a) above, which says that if a task \(t\) is scheduled to start after a task \(w\) - \(\sigma(t) > \sigma(w)\) - then the earliest time at which \(t\) can be scheduled is after \(w\) has completed, i.e. \(\sigma(w)+len(w)\); 3) no task can start before its specified `release time' (condition (b) above); 4) every task has finished no later than its allotted deadline (condition (c) which states that the scheduled starting time of a task \(t\) plus the total amount of time that \(t\) takes to complete - \(len(t)\) - must be no greater than the deadline that is assigned for \(t\), i.e. \(d(t)\)). In common with other scheduling and resource management problems there is a large volume of research into heuristics and approximation methods for this problem. Some relevant references may be found in sections of this bibliography.",,SRT
52,Precedence Constrained Scheduling,1,[SS9],"A set \(T\) of tasks each of which has length 1 or length 2; a partial ordering \(\ll\) on the set of tasks, \(T\); a positive integer deadline \(D\).","Is there a 2-processor schedule, \(\sigma\), for \(T\) that meets the overall deadline \(D\) and obeys the `precedence constraints' of the partial order \(\ll\), i.e. if \(t\ll  w\) then \(\sigma(w)\geq \sigma(t)+len(t)\)?","Ullman, Jeffrey D. ""NP-complete scheduling problems."" Journal of Computer and System sciences 10.3 (1975): 384-393.",SS,"Recall that a partial order \(\ll\) on a set \(R\) is an ordering relation which satisfies: for all distinct \(s\) and \(t\) at most one of \(s\ll t\) or \(t\ll s\) holds; and for all distinct \(s, t, w \in R\) if \(s\ll t\) and \(t\ll w\) then \(s\ll w\). The bibliography mentioned above may contain useful references.",,PCS
53,Quadratic Congruences,1,[AN1],"Positive integers \(a, b\), and \(c\).","Is there a positive integer \(x\) whose value is less than \(c\) and is such that \(x_2 = a \mod b\), i.e. the remainder when \(x_2\) is divided by \(b\) is equal to \(a\)?","Manders, Kenneth, and Leonard Adleman. ""NP-complete decision problems for quadratic polynomials."" Proceedings of the eighth annual ACM symposium on Theory of computing. ACM, 1976.",AN,,,QCG
54,Square-Tiling,24,[GP13],"A set \(C\) of \(n\) `colours'; a collection of tiles, \(T\), each tile \(t\) being a 4-tuple \(\langle a,b,c,d\rangle\) of colours where \(a\) is the colour at the top of the tile; \(b\) that on the right-hand side; \(c\) that at the bottom; and \(d\) that on the left-hand side of the tile; a positive integer \(k\leq n\).","Is there a proper tiling of a \(k \times  k\) square using the tiles in \(T\), i.e. an assignment of a tile \(A(i,j) \in T\) to each ordered pair \((i,j)\) with \(1\leq i\leq k\), \(1\leq j\leq k\) such that both of the following hold:If \(A(i,j)=\langle a,b,c,d\rangle\) and \(A(i+1,j)=\langle e,f,g,h\rangle\) then the colours \(b\) and \(h\) are identical. If \(A(i,j)=\langle a,b,c,d\rangle\) and \(A(i,j+1)=\langle e,f,g,h\rangle\) then the colours \(c\) and \(e\) are identical? ","Garey, Michael R., David S. Johnson, and C. H. Papadimitriou [1977], unpublished results.",GP,"Informally, a proper tiling is one in which two tiles which are next to each other are required to have the same colour on touching sides, i.e. the right-hand side of one is coloured the same as the left-hand side of its neighbour and similarly with vertically adjacent tiles: the lower side of one is coloured the same as the top side of its neighbour. Decision problems involving questions about tiling patterns tend to be extremely difficult. For the most general form of the question it can be proven that no algorithm at all exists to solve it, i.e. not even an extremely inefficient one. A tiling problem also constitutes the only known `natural' `hard' member of the following class of problems: given a positive integer n as input, determine the number of `objects' of `size' n having a particular property, e.g. the number of n-node graphs, or the number of n-node graphs with a Hamiltonian circuit.",,STL
55,Crossword Puzzle Construction,39,[GP14],"A finite set of characters \(SIGMA=\{\sigma_1,...,\sigma_k\}\); a finite set, \(W=\{w_1,...,w_{2n}\}\) each \(w_i\) being a sequence of \(n\) characters from \(SIGMA\), i.e. a string.","Can an \(n \times n\) crossword puzzle be built using all of the \(2n\) words (strings) in \(W\), i.e. if \(C\) is an \(n \times n\) table of `blanks', is there an assignment, \(f\), that maps each entry \((i,j)\) of \(C\) to some character in \(SIGMA\) in such a way that the word formed by taking the \(n\) consecutive characters in a row corresponds to a word in \(W\); the word formed by taking the \(n\) consecutive characters in a column (reading from top-to-bottom) corresponds to a word in \(W\)?","Lewis, H.R., and C. H. Papadimitrious [1978]",GP,"The definition may look complicated but it isn't. Here is a simple example instance for which a crossword can be constructed. Let \(SIGMA={A,B,C,D,E,G,O}, n=3, W={AGE,AGO,BEG,CAB,CAD,DOG}\). A 3 by 3 crossword puzzle for this is given by the assignment \(C(1,1)=C; C(1,2)=A; C(1,3)=B; C(2,1)=A; C(2,2)=G; C(2,3)=E; C(3,1)=D; C(3,2)=O; C(3,3)=G\). This results in the grid \([CAB;AGE;DOG]\) whose correctness is self-evident.",,CPC
56,Disjunctive non-tautology,0,[LO8],"A set of \(m\) products - \(P_1,P_2,...,P_m\) - over a set of \(n\) Boolean valued variables \(X_n=\langle x_1,x_2,...,x_n\rangle\), such that each product depends on exactly three distinct variables from \(X_n\). A product being a Boolean expression of the form \(y_i \land y_j \land y_k\) where each \(y\) is of the form \(x\) or \(-x\) (i.e. negation of \(x\)) with \(x\) being some variable in \(X_n\).",Is there an assignment of Boolean values to the variables in \(X_n\) that results in every product taking the value false (equivalently 0)?,"Cook, Stephen A. ""The complexity of theorem-proving procedures."" Proceedings of the third annual ACM symposium on Theory of computing. ACM, 1971.",LO,,,DNT
57,Simultaneous Incongruences,1,[AN2],"A set of \(n\) ordered pairs of positive integers \(\{(a_1,b_1),...,(a_n,b_n)\}\) where \(a_i\leq b_i\) for each \(1\leq i\leq n\).","Is there a positive integer \(x\) such that: for each \(i\), \(a_i\) does not equal the remainder when dividing \(x\) by \(b_i\)?","Stockmeyer, Larry J., and Albert R. Meyer. ""Word problems requiring exponential time (preliminary report)."" Proceedings of the fifth annual ACM symposium on Theory of computing. ACM, 1973.",AN,,,SICG
58,Betweenness,37,[MS1],"A finite set of size \(n\), \(A\); a set \(C\) of ordered triples, \((a,b,c)\), of distinct elements from \(A\).","Is there a one-to-one function, \(f:A\rightarrow \{1,2,...,n\}\) such that for each triple \((a,b,c) \in C\) it holds that either \(f(a)< f(b)< f(c)\) or \(f(c)< f(b)< f(a)\)?","Opatrny, Jaroslav. ""Total ordering problem."" SIAM Journal on Computing 8.1 (1979): 111-114.",MS,,,BTW
59,Minimum Weight and/or Graph Solution,39,[MS16],"A directed acyclic graph \(G(V,A)\) having a single node \(s\), with no incoming edges; a labelling, \(f(v)\) of each node having at least one out-going edge in \(G\), as either an and-node or an or-node; a positive integer \(K\).","Is there a sub-graph \(H(W,B)\) of \(G(V,A)\), i.e. \(W\) is a subset of \(V\) and \(B\) is a subset of \(A\) satisfying all of the following: \(s \in W\). If \(w \in W\) and \(w\) is an and-node then all of the edges directed out of \(w \in G\) belong to \(B\). If \(w \in W\) and \(w\) is an or-node then at least one of the edges directed out of \(w \in G\) belongs to \(B\). \(B\) contains at most \(K\) edges? ","Sahni, Sartaj. ""Computationally related problems."" SIAM Journal on Computing 3.4 (1974): 262-279.",MS,,,MWGS
60,Fault-Detection in Directed Graphs,39,[MS18],"A directed, acyclic graph \(G(V,A)\) such that \(G\) has a unique node \(t\) with no out-going edges; \(I\) the set of nodes in \(V\) having no incoming edges; a positive integer \(K\).","Is there a `test set' of size at most \(K\) that can detect every `single fault' in \(G\) (N.B. not `every single fault' but every `single fault'), i.e. a subset \(T\) of the nodes in \(I\) such that \(T\) contains at most \(K\) nodes. For every node \(v \in V\) there exists a node \(u \in T\) such that \(v\) lies on a directed path from \(u\) to \(t \in G\)? ","IBARAKI, Toshihide, Tsunehiko KAMEDA, and Shunichi TOIDA. ""NP-complete diagnosis problems on system graphs."" IEICE TRANSACTIONS (1976-1990) 62.2 (1979): 81-88.",MS,,,FDDG
61,Minimum Broadcast Time,82,[ND49],"\(n\)-node undirected graph \(G(V,E)\); a subset \(V_0\) of the nodes in \(V\).","Can a message be `broadcast' from the base set \(V_0\) to all of the nodes in \(V\) in at most 4 steps, i.e. is there a sequence \(V_0,E_1,V_1,E_2,V_2,E_3,V_3,E_4,V_4\) which satisfies all of the following: \(V_i\) is a subset of \(V\) for each \(0\leq i\leq 4\). \(E_i\) is a subset of \(E\) for each \(1\leq i\leq 4\). \(V_4=V\). Each edge in \(E_i\) has exactly one of its endpoints in \(V_{i-1}\) (\(1\leq i\leq 4\)) No two edges in \(E_i\) share a common end-point (\(1\leq i\leq 4\)) \(Vi=V_{i-1} \cup \{w: \{v,w\} \in E_i\}\) (\(1\leq i\leq 4\))? ","Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",GT,,,MBT
62,Disjoint Connecting Paths,1,[ND40],"\(n\)-node undirected graph \(G(V,E)\); a set of disjoint pairs of nodes \(\{(s_1,t_1);...;(s_k,t_k)\}\).","Does \(G\) contain \(k\) mutually node disjoint paths, \(P_i\), with \(P_i\) being a path from \(s_i\) to \(t_i\)?","Knuth, D. E. [1974], private communication.",GT,Mutually disjoint means that no two paths have any common nodes.,,DCPT
63,Shortest Weight-Constrained Path,41,[ND30],"\(n\)-node undirected graph \(G(V,E)\); for each edge \(e \in E\) a positive integer length \(len(e)\) and a positive integer weight \(w(e)\); specified nodes \(s\) and \(t \in V\); positive integers \(K\) and \(W\).",Is there a path from \(s\) to \(t \in G\) that has both: Total weight at most \(W\). Total length at most \(K\)? ,"Megiddo, N. [1977], private communication.",GT,"If all of the edges have the same length or all of the edges have the same weight, then this is simply the normal shortest-path problem for which various efficient algorithms exist, e.g. the Dynamic Programming method of Floyd that is covered in the course. Minimising a single measure, in this context of path lengths, is `easy', but attempting simultaneously to minimise two (or more) distinct measures is not.",,SWCP
64,Minimum Maximal Matching,6,[GT10],"\(n\)-node undirected graph \(G(V,E)\); positive integers \(k\leq |E|\).","Is there a subset, \(F\), of at most \(k\) edges from \(E\) that forms a maximal matching in \(G\), i.e. no two edges in \(F\) have a common endpoint and every edge of \(G\) that is not in \(F\) has a common endpoint with at least one edge of \(F\)?","Yannakakis, Mihalis, and Fanica Gavril. ""Edge dominating sets in graphs."" SIAM Journal on Applied Mathematics 38.3 (1980): 364-372.",GT,,,MMM
65,Partition into Triangles,36,[GT11],"(\(3n\))-node undirected graph \(G(V,E)\).","Can the nodes of \(G\) be partitioned into \(n\) disjoint sets - \(V_1,...,V_n\) - each of which contains exactly 3 nodes and is such that for each \(V_i=\{u_i,v_i,w_i\}\), all three of the edges \(\{u_i,v_i\}, \{u_i,w_i\}\) and \(\{v_i,w_i\}\) belong to \(E\)?","Schaefer, T. J. [1974], private communication.",GT,,,PTT
66,Partition into Forests,2,[GT14],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k\leq n\).","Can the nodes of \(G\) be partitioned into \(t\leq k\) disjoint sets \(V_1,...,V_t\) - in such a way that for each \(V_i\) (\(1\leq i\leq t\)), the subgraph \(G_i(V_i,E_i)\) induced by \(V_i\) contains no cycles, i.e. is a forest (set of trees)?","Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",GT,"If \(G(V,E)\) is a graph, then the subgraph induced by a subset \(W\) of \(V\) is the graph \(H(W,F)\) whose edges, \(F\), are formed by all the edges in \(E\) that connect two nodes in \(W\).",,PTF
67,Partition into Cliques,2,[GT15],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k\leq n\).","Can the nodes of \(G\) be partitioned into \(t\leq k\) disjoint sets - \(V_1,...,V_t\) - in such a way that for each \(V_i (1\leq i\leq t)\), the subgraph \(G_i(V_i,E_i)\) induced by \(V_i\) is a clique, i.e. a graph in which every pair of nodes is connected by an edge?","Karp, Richard M. ""Reducibility among combinatorial problems."" Complexity of computer computations. Springer, Boston, MA, 1972. 85-103.",GT,For definition of induced subgraph see partition into forests.,,PTC
68,Partition into Perfect Matchings,1,[GT16],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k\leq n\).","Can the nodes of \(G\) be partitioned into \(t\leq k\) disjoint sets - \(V_1,...,V_t\) - in such a way that for each \(V_i (1\leq i\leq t)\), the subgraph \(G_i(V_i,E_i)\) induced by \(V_i\) is a perfect matching, i.e. a graph in which every node is the endpoint of exactly one edge?","Schaefer, Thomas J. ""The complexity of satisfiability problems."" Proceedings of the tenth annual ACM symposium on Theory of computing. ACM, 1978.",GT,For definition of induced subgraph see partition into forests.,,PTPM
69,Covering by Cliques,67,[GT17],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k\leq n\).","Are there \(t\leq k\) subsets - \(V_1,...,V_t\) of \(V\) - such that both of the following hold: The subgraph \(G_i(V_i,E_i)\) of \(G(V,E)\) induced by \(V_i\) is a clique. For each edge \(\{u,v\} \in E\) there is some subset \(V_i\) that contains both \(u\) and \(v\)? ","Kou, Lawrence T., Larry J. Stockmeyer, and Chak-Kuen Wong. ""Covering edges by cliques with regard to keyword conflicts and intersection graphs."" Communications of the ACM 21.2 (1978): 135-139.
",GT,,,CVC
70,Degree-Bounded Connected Subgraph,24,[GT26],"\(n\)-node undirected graph \(G(V,E)\); non-negative integer \(d\leq n\); positive integer \(k\leq |E|\).","Is there a subset \(F\) of the edges in \(E\) having size at least \(k\) and such that subgraph \(G(V,F)\) of \(G\) is connected and has no node of degree greater than \(d\)?","Yannakakis, Mihalis. ""Node-and edge-deletion NP-complete problems."" Proceedings of the tenth annual ACM symposium on Theory of computing. ACM, 1978.",GT,A graph is connected if for every pair of nodes v and w there is a path connecting \(v\) and \(\)w in the graph.,,DBSG
71,Uniconnected Subgraph,6,[GT30],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k\leq |A|\).","Is there a subset \(B\) of the edges in \(A\) having size at least \(k\) and such that the subgraph \(H(V,B)\) of \(G\) has at most one directed path between any pair of nodes in \(V\)?","Maheshwari, Shachindra N. ""Traversal Marker Placement Problems Are NP-Complete; CU-CS-092-76."" (1976).",GT,,,USG
72,Minimum \(k\)-Connected Subgraph,24,[GT31],"\(n\)-node undirected graph \(G(V,E)\); positive integers \(k\leq n\) and \(B\leq |E|\).","Is there a subset \(F\) of the edges \(E\) having size at most \(B\) and such that the subgraph \(H(V,F)\) of \(G\) is \(k\)-connected, i.e. remains connected after removing any set \(W\) of a most \(k-1\) nodes and their adjacent edges?","Chung, F. R. K., and R. L. Graham [1977], private communication.",GT,,,MSG
73,Minimum Cut Linear Arrangement,89,[GT44],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k\).","Is there a one-to-one function \(f:V\rightarrow \{1,2,...,n\}\) such that for all \(i\), with \(1< i< n\), the total number of edges \(\{u,v\} \in E\) for which \(f(u)\leq i< f(v)\) is at most \(k\)?","Stockmeyer, L. J. [1976b], private communication.",GT,,,MCLA
74,Consecutive Sets,24,[SR18],"Finite alphabet \(SIGMA\) of \(t\) symbols; collection \(C=\{SIGMA_1,SIGMA_2,...,SIGMA_n\}\) of subsets of \(SIGMA\); positive integer \(K\).","Is there a string, \(w\), (sequence of symbols) over \(SIGMA\) such that \(|w|\leq K\) and for each \(1\leq i\leq n\), all of the symbols in \(SIGMA_i\) appear in a consecutive block of \(|SIGMA_i|\) symbols in the string \(w\)?","Kou, Lawrence T. ""Polynomial complete consecutive information retrieval problems."" SIAM Journal on Computing 6.1 (1977): 67-75.",SR,"N.B. minor typo. in Garey and Johnson, \(W\) written instead of \(w\).",,CS
75,Multiple Choice Matching,1,[GT55],"\(n\)-node undirected graph \(G(V,E)\); partition of \(E\) into \(t\) disjoint sets - \(E_1,...,E_t\); positive integer \(k\).",Is there a subset \(F\) of \(E\) having size at least \(k\) and satisfying both of the following: No two edges in \(F\) share a common endpoint. \(F\) contains at most one edge from each \(E_i\) (\(1\leq i\leq t\))? ,"Itai, Alon, and Michael Rodeh. ""Some matching problems."" International Colloquium on Automata, Languages, and Programming. Springer, Berlin, Heidelberg, 1977.
",GT,,,MCM
76,Path Distinguishers,6,[GT60],"\(n\)-node undirected graph \(G(V,E)\); specified nodes \(s\) and \(t \in V\); positive integer \(k\leq |A|\).","Is there a subset \(B\) of the edges \(A\) having size at most \(k\) and such that for any pair of distinct paths \(P\) and \(Q\) from \(s\) to \(t \in G\), there is an edge in \(B\) that is in exactly one of \(P\) and \(Q\)?","Maheshwari, S. ""Traversal marker placement problems are NP-complete."" Boulder Univ. Report CU-CS-092 76 (1976).",GT,,,PTD
77,Nestril-Rodl Dimension,2,[GT62],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k\leq n\).","Is there a one-to-one function \(f:V\rightarrow \{( a_1, a_2,...,a_k) : 1\leq  a_i\leq  n \}\) such that for all pairs of nodes \(u\) and \(v \in V\), \(\{u,v\}\) is an edge of \(G\) if and only if \(f(u)\) and \(f(v)\) disagree in all \(k\) components?","Nešetřil, J., and Ales Pultr. ""A Dushnik-Miller type dimension of graphs and its complexity."" International Conference on Fundamentals of Computation Theory. Springer, Berlin, Heidelberg, 1977.",GT,,,NRD
78,Shortest Total Path Length Spanning Tree,39,[ND3],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(B\).","Is there a spanning tree \(T(V,F)\) of \(G\) such that the sum over all pairs of nodes \(u\) and \(v\) of the length of the path between \(u\) and \(v \in T\) is no greater than \(B\)?","Johnson, David S., Jan Karel Lenstra, and A. H. G. Kan. ""The complexity of the network design problem."" Networks 8.4 (1978): 279-285.",GT,,,SPST
79,Induced Path,1,[GT23],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k\leq n\).","Is there a subset \(W\) of the nodes \(V\) having size at least \(k\) and such that the subgraph \(H(W,F)\) of \(G\) induced by \(W\) is a simple path on \(|W|\) nodes?","Yannakakis, M. [1978c], private communication.",GT,For relevant definitions refer to partition into forests.,,IP
80,Bounded Component Spanning Forest,25,[ND10],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k\leq n\).","Can \(V\) be partitioned into t disjoint sets - \(V_1,...,V_t\) - where \(t\leq k\), such that for each \(i\) (\(1\leq i\leq t\)) both of the following hold: The subgraph \(H(V_i,E_i)\) of \(G\) induced by \(V_i\) is connected. The number of nodes in \(V_i\) is at most 4. ","Hadlock, F. O. ""Minimum spanning forests of bounded trees."" Proc. of the Southeastern Conference on Combinatorics, Graph Theory and Computing (Congressus Numerantium X). 1974.",GT,For relevant definitions refer to partition into forests and degree-bounded connected subgraphs.,,BCSF
81,Maximum Subgraph Matching,4,[GT50],"Directed graphs \(G(V,A)\), \(H(W,B)\); positive integer \(k\).","Is there a subset \(R\) of \(V\times W\), i.e. pairs of nodes where one node is from \(V\) and one from \(W\), having size at least \(k\) and such that for every \(\langle u,v\rangle\) and \(\langle x,y\rangle\) in \(R\) the edge \((u,x)\) belongs to \(A\) if and only if the edge \((v,y)\) belongs to \(B\)?","Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",GT,,,MSM
82,Numerical 3-Dimensional Matching,36,[SP16],"Disjoint sets \(W, X\), and \(Y\) each containing exactly \(m\) elements; for each element \(u\) of \(W \cup X \cup Y\), a positive integer size \(s(u)\); a positive integer bound \(B\).","Can the \(3m\) element set \(W \cup X \cup Y\) be partitioned into \(m\) disjoint sets \(A_1,...,A_m\) in such a way that: Each \(A_i\) contains exactly one element from \(W\), exactly one element from \(X\), and exactly one element from \(Y\). Each \(A_i\) has total size exactly equal to \(B\)? ","Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",SS,,,N3DM
83,Open Hemisphere,12,[MP6],Finite set \(X\) of \(m\)-tuples of integers; a positive integer \(k\leq |X|\).,"Is there an \(m\)-tuple \(y\) of rational numbers such that \(\sum_{i=1}^{m} x_iy_i\neq 0\) for at least \(k\) of the \(m\)-tuples in \(X\), \(x_i\) (resp. \(y_i\)) being the \(i\)th component of the \(m\)-tuple \(x\) (resp. \(y\))?","Johnson, David S., and Franco P. Preparata. ""The densest hemisphere problem."" Theoretical Computer Science 6.1 (1978): 93-107.
",MP,,,OHS
84,Largest Common Subgraph,4,[GT49],"\(2n\)-node undirected graphs \(G(V,E)\), \(H(W,F)\); positive integer \(k\).","Do there exist subsets \(E_1\) of the edges \(E\) and \(F_1\) of the edges \(F\) that satisfy all of the following: \(|E_1|=|F_1|\). \(|E_1|\geq k\), \(|F_1|\geq k\). The graphs \(G(V,E_1)\) and \(H(W,F_1)\) are isomorphic, i.e. there is a mapping \(f\) between \(V\) and \(W\) such that \(\{x,y\}\) is an edge in \(E_1\) if and only if \(\{f(x),f(y)\}\) is an edge in \(F_1\)? ","Demonds, J., and D. W. Matula [1975], private communication.",GT,,,LCS
85,Clustering,2,[MS9],"Finite set \(X\); for each pair of elements \(x\) and \(y \in X\), a positive integer distance \(d(x,y)\); positive integer \(B\).","Is there a partition of \(X\) into 3 disjoint sets - \(X_1,X_2,X_3\) - with which: for each set \(X_i\) (\(1\leq i\leq 3\)), for all pairs \(x\) and \(y \in X_i\) it holds that \(d(x,y)\leq B\)?","Brucker, Peter. ""On the complexity of clustering problems."" Optimization and operations research. Springer, Berlin, Heidelberg, 1978. 45-54.",MS,,,CLST
